[-0.021, -0.032, 0.181, 10.422, -1.485, -163.732]   ===>   [0.059, 0.025, -0.168],  actual: [0.059, 0.025, -0.169]  (mse: 0.000001)
[-0.014, -0.028, 0.184, -42.806, -5.261, -157.701]   ===>   [0.049, 0.030, -0.167],  actual: [0.050, 0.030, -0.168]  (mse: 0.000001)
[0.019, -0.031, 0.187, 60.425, -1.000, -156.950]   ===>   [0.018, 0.020, -0.163],  actual: [0.018, 0.020, -0.162]  (mse: 0.000000)
[0.027, -0.039, 0.189, -32.205, -4.625, -178.812]   ===>   [0.011, 0.016, -0.161],  actual: [0.010, 0.015, -0.161]  (mse: 0.000001)
[0.010, 0.011, 0.181, 12.529, -0.378, -152.999]   ===>   [0.020, 0.065, -0.163],  actual: [0.019, 0.066, -0.164]  (mse: 0.000003)
[0.006, -0.022, 0.187, -54.336, -4.657, -159.047]   ===>   [0.028, 0.034, -0.165],  actual: [0.028, 0.034, -0.165]  (mse: 0.000000)
[0.006, -0.009, 0.195, -45.000, 22.778, -172.230]   ===>   [0.030, 0.046, -0.165],  actual: [0.030, 0.046, -0.166]  (mse: 0.000000)
[-0.004, -0.040, 0.189, -8.092, 8.817, -158.365]   ===>   [0.041, 0.016, -0.167],  actual: [0.041, 0.016, -0.166]  (mse: 0.000001)
[0.014, -0.026, 0.189, 76.048, -12.184, -175.944]   ===>   [0.021, 0.026, -0.164],  actual: [0.022, 0.026, -0.165]  (mse: 0.000001)
[-0.002, -0.004, 0.174, 41.522, -13.438, -168.216]   ===>   [0.035, 0.051, -0.165],  actual: [0.035, 0.052, -0.164]  (mse: 0.000001)
[-0.029, 0.001, 0.192, -76.107, 19.664, -177.746]   ===>   [0.063, 0.060, -0.168],  actual: [0.064, 0.061, -0.168]  (mse: 0.000001)
[-0.036, 0.005, 0.186, -50.202, 14.080, -154.707]   ===>   [0.069, 0.065, -0.169],  actual: [0.069, 0.065, -0.170]  (mse: 0.000000)
[0.001, 0.007, 0.184, -61.314, 29.192, -156.422]   ===>   [0.031, 0.062, -0.164],  actual: [0.031, 0.062, -0.166]  (mse: 0.000002)
[0.023, -0.039, 0.198, -22.873, -2.334, -170.372]   ===>   [0.015, 0.017, -0.164],  actual: [0.014, 0.017, -0.161]  (mse: 0.000011)
[0.019, -0.038, 0.192, 10.755, -3.607, -168.176]   ===>   [0.017, 0.016, -0.163],  actual: [0.017, 0.016, -0.161]  (mse: 0.000003)
[0.002, -0.024, 0.189, -88.493, 12.772, -170.489]   ===>   [0.034, 0.032, -0.166],  actual: [0.035, 0.033, -0.166]  (mse: 0.000002)
[0.008, -0.017, 0.186, -30.352, -11.936, -177.018]   ===>   [0.025, 0.040, -0.165],  actual: [0.025, 0.040, -0.165]  (mse: 0.000001)
[-0.025, -0.038, 0.184, -80.589, 22.534, -164.744]   ===>   [0.064, 0.020, -0.169],  actual: [0.065, 0.020, -0.167]  (mse: 0.000004)
[-0.020, 0.006, 0.186, 20.382, 4.024, -146.622]   ===>   [0.053, 0.063, -0.167],  actual: [0.053, 0.063, -0.166]  (mse: 0.000001)
